 	Label	Cellcoord.X	Cellcoord.Y	area	mean.ch2	std.ch2	min.ch2	max.ch2	BGcoord.ch2.X	BGcoord.ch2.Y	bg.area.ch2	bg.mean.ch2	bg.std.ch2	bg.min.ch2	bg.max.ch2	area.ch3	mean.ch3	std.ch3	min.ch3	max.ch3	bg.area.ch3	bg.mean.ch3	bg.std.ch3	bg.min.ch3	bg.max.ch3
112	1772-062-249_G12	222	174	227.982	18.591	5.529	5	34	122	224	227.982	16.219	4.311	5	26	227.982	29.591	25.121	4	104	227.982	12.328	4.389	1	24
113	1772-062-249_H01	256	173	227.982	19.007	4.973	4	30	156	223	227.982	16.394	4.436	5	28	227.982	29.431	6.931	13	47	227.982	11.657	4.216	2	22
114	1772-062-249_H02	224	174	227.982	15.781	4.407	4	26	124	224	227.982	15.321	4.244	2	25	227.982	12.102	4.351	0	25	227.982	12.431	4.174	0	25
115	1772-062-249_H03	256	173	227.982	19.774	4.890	7	31	156	223	227.982	15.745	4.542	5	26	227.982	34.934	5.726	21	52	227.982	11.635	4.549	1	21
116	1772-062-249_H04	251	171	227.982	36.314	6.273	18	57	151	221	227.982	16.350	4.324	2	26	227.982	41.029	8.007	22	63	227.982	11.190	3.988	0	19
117	1772-062-249_H05	220	173	227.982	33.036	10.977	14	58	120	223	227.982	16.474	4.653	5	30	227.982	52.401	27.130	9	114	227.982	12.153	4.049	1	23
118	1772-062-249_H06	252	172	227.982	20	4.829	5	29	152	222	227.982	17.197	4.318	7	27	227.982	34.825	6.785	21	53	227.982	11.715	4.867	0	23
119	1772-062-249_H07	224	173	227.982	60.263	26.312	16	121	124	223	227.982	15.051	4.916	3	28	227.982	68.489	35.188	15	152	227.982	11.781	4.311	0	22
120	1772-062-249_H08	254	173	227.982	17.139	4.469	6	28	154	223	227.982	16.182	4.471	4	29	227.982	19.380	4.831	3	31	227.982	11.212	4.090	0	20
121	1772-062-249_H09	221	172	227.982	17.540	4.695	7	29	121	222	227.982	15.496	4.935	5	29	227.982	14.708	4.322	5	24	227.982	11.358	4.162	2	24
122	1772-062-249_H10	219	170	227.982	45.766	7.364	21	72	119	220	227.982	14.803	4.518	1	28	227.982	40.124	7.115	15	57	227.982	11.474	4.111	0	21
123	1772-062-249_H11	251	172	227.982	17.839	4.497	5	29	151	222	227.982	16.854	4.491	7	33	227.982	11.358	4.282	0	24	227.982	10.847	4.261	0	22
124	1772-062-249_H12	219	171	227.982	15.920	4.805	3	27	119	221	227.982	15.409	4.221	4	30	227.982	11.482	4.378	0	22	227.982	11.489	4.418	0	22
125	1772-064-103_A01	261	204	227.982	34.905	11.292	17	73	161	254	227.982	26.212	4.827	15	42	227.982	35.307	12.455	7	72	227.982	14.540	4.451	1	25
126	1772-064-103_A02	232	208	227.982	80.650	41.675	16	170	132	258	227.982	24.745	4.653	13	38	227.982	81.219	55.061	11	192	227.982	13.927	4.348	1	26
127	1772-064-103_A03	265	206	227.982	71.708	37.095	15	152	165	256	227.982	25.715	4.729	11	38	227.982	35.993	17.516	2	80	227.982	13.788	4.216	4	28
128	1772-064-103_A04	263	202	227.982	69.613	27.780	21	130	163	252	227.982	24.920	4.703	14	40	227.982	127.555	68.169	25	268	227.982	14.920	4.277	3	25
129	1772-064-103_A05	229	203	227.982	48.679	12.680	28	79	129	253	227.982	24.533	4.697	11	35	227.982	40.642	12.069	18	78	227.982	13.818	4.495	2	23
130	1772-064-103_A06	259	201	227.982	55.226	30.694	21	140	159	251	227.982	25.606	4.993	12	42	227.982	54.307	37.965	5	161	227.982	14.927	4.345	5	27
131	1772-064-103_A07	227	207	227.982	79.701	45.177	16	190	127	257	227.982	25.672	4.605	15	39	227.982	60.007	40.852	11	153	227.982	15.234	4.468	4	27
132	1772-064-103_A08	259	205	227.982	89.657	36.776	34	171	159	255	227.982	25.912	4.672	13	37	227.982	60.562	25.639	19	119	227.982	14.854	3.944	4	25
133	1772-064-103_A09	231	206	227.982	58.277	35.582	19	153	131	256	227.982	25.964	4.585	16	41	227.982	92.314	72.813	15	309	227.982	14.241	4.574	3	24
134	1772-064-103_A10	227	201	227.982	90.139	36.399	25	160	127	251	227.982	24.591	4.886	12	39	227.982	102.358	51.954	18	208	227.982	14.693	4.665	0	26
135	1772-064-103_A11	258	201	227.982	29.861	5.853	13	44	158	251	227.982	25.109	4.679	14	34	227.982	26.299	9.014	4	46	227.982	14.292	4.322	2	24
136	1772-064-103_A12	224	202	227.982	84.657	37.014	22	161	124	252	227.982	24.657	4.630	12	38	227.982	124.591	74.515	14	291	227.982	15	3.916	6	25
137	1772-064-103_B01	253	205	227.982	47.029	16.781	17	89	153	255	227.982	24.847	4.945	12	37	227.982	152.547	86.312	31	338	227.982	13.869	4.678	4	31
138	1772-064-103_B02	224	208	227.982	29.715	8.151	12	53	124	258	227.982	24.818	5.148	12	44	227.982	48.876	35.927	9	146	227.982	14.066	4.215	5	28
139	1772-064-103_B03	256	206	227.982	126.219	68.739	30	289	156	256	227.982	25.029	4.762	11	38	227.982	97.380	60.925	16	244	227.982	14.715	4.419	1	27
140	1772-064-103_B04	253	201	227.982	27.650	7.854	14	52	153	251	227.982	24.131	4.912	10	39	227.982	21.409	8.153	7	48	227.982	14.263	4.782	3	29
141	1772-064-103_B05	222	202	227.982	44.241	20.272	14	104	122	252	227.982	23.759	4.669	11	33	227.982	128.277	73.559	17	272	227.982	14	4.313	2	24
142	1772-064-103_B06	251	200	227.982	37.124	12.678	16	80	151	250	227.982	24.453	5.000	12	39	227.982	90.818	41.516	19	202	227.982	13.781	4.071	1	23
143	1772-064-103_B07	219	207	227.982	29.328	10.858	12	65	119	257	227.982	23.190	4.443	8	33	227.982	49.460	31.048	8	128	227.982	14.255	4.602	1	24
144	1772-064-103_B08	252	204	227.982	89.401	46.803	11	199	152	254	227.982	24.562	4.820	14	39	227.982	14.956	4.306	2	29	227.982	14.628	4.502	2	25
145	1772-064-103_B09	221	207	227.982	76.796	36.009	15	151	121	257	227.982	24.365	5.728	10	39	227.982	15.394	4.501	4	29	227.982	14.416	4.590	3	28
146	1772-064-103_B10	218	202	227.982	97.708	59.666	18	230	118	252	227.982	25.460	4.607	14	37	227.982	68.394	46.011	8	169	227.982	14.701	4.168	3	26
147	1772-064-103_B11	247	200	227.982	26.394	7.091	12	45	147	250	227.982	23.956	4.992	12	37	227.982	17.467	4.354	6	27	227.982	13.766	4.395	3	24
148	1772-064-103_B12	214	202	227.982	122.080	112.907	12	392	114	252	227.982	23.861	4.494	13	35	227.982	98.664	101.950	9	336	227.982	14.365	4.619	3	24
149	1772-064-103_C01	247	207	227.982	51.182	23.364	15	108	147	257	227.982	28.876	5.441	13	43	227.982	93.168	65.094	13	248	227.982	16.088	4.221	5	27
150	1772-064-103_C02	216	208	227.982	30.438	9.650	11	52	116	258	227.982	24.365	4.309	14	37	227.982	33.387	25.531	5	109	227.982	14.394	4.159	4	27
151	1772-064-103_C03	247	206	227.982	27.117	8.956	12	56	147	256	227.982	25.146	5.703	9	41	227.982	34.993	18.307	3	87	227.982	13.715	4.960	2	24
152	1772-064-103_C04	246	202	227.982	29.088	6.210	15	47	146	252	227.982	25.022	4.770	13	36	227.982	34.358	13.001	11	71	227.982	13.861	4.758	3	25
