"Run","Well","cell_id","low.complexity","SPIKE_1","SPIKE_4","SPIKE_7","SPIKE_3","SPIKE_6","rRNA_18S","rRNA_28S","rRNA_5.8S","Nextera","HPV","HPV_as"
"1772-062-249","A07","1772-062-249_A07",4409.08605884522,9911.90251993238,767.530106836447,59.9047888262593,0,0,1609.94119970572,114.661509862762,0,60535.6611335858,3330.79985997256,1111.04663026203
"1772-062-249","A08","1772-062-249_A08",2085.11648421429,10994.3186285632,909.828166033531,200.311962480633,0,0,2943.64981125746,96.973454733615,0.748829766282742,56918.9249500343,2517.19125935944,824.087157794157
"1772-062-249","A09","1772-062-249_A09",3475.67761909027,7812.75883521546,591.448053804594,80.3731276435703,0,0,1299.46781945864,43.5610081121641,0.613535325523438,67192.5482453503,3654.21639881759,1170.0118657732
"1772-062-249","A10","1772-062-249_A10",3286.00428057633,7673.59502217515,558.791730103043,10.4807925685664,0,0,2273.78036671742,131.285717437832,1.10324132300699,52652.1921405088,6234.41671631253,1917.98504004766
"1772-062-249","A11","1772-062-249_A11",650.586560972382,8026.93452959271,587.864605188655,54.8509652540042,0,0,2215.43786566285,83.3833059242486,0,104345.229515624,870.236390442453,252.855570767338
"1772-062-249","A12","1772-062-249_A12",776.699126709756,8614.80196056851,771.67357428847,113.577484721064,0,0,2161.74137401619,93.9778302780487,0.251277621064301,99244.8604931776,992.546603203991,297.261425719069
"1772-062-249","B01","1772-062-249_B01",2039.92605491531,7697.99440048343,750.446066214462,56.7639371109212,0,0,2838.19685554606,91.1798674852593,0.893920269463326,68409.0364612199,3668.64878587749,1194.72444013774
"1772-062-249","B02","1772-062-249_B02",2274.37132943441,9325.72411588118,858.253331862042,30.6519047093586,0,0,2709.15680854254,93.370417422354,0,67276.6867271594,2695.48134336452,834.674943624074
"1772-062-249","B03","1772-062-249_B03",4421.8409155404,7413.96229439658,574.595616826499,46.0326365977874,0,0,2344.95666433435,122.93421773762,0,53916.673345912,4251.79094034387,1300.28659377985
"1772-062-249","B04","1772-062-249_B04",3198.89968499046,8925.27027226881,650.230957698015,100.566425603029,0,0,3245.23911639578,119.79235990949,1.9718906980986,52759.4145456517,5339.88001045102,1715.05193467126
"1772-062-249","B05","1772-062-249_B05",2801.31141038592,4450.90371215079,392.514135673544,22.7245025916262,0,0,2134.0373797409,61.9759161589806,0,85254.0702682937,907.430705761075,273.726963035498
